Column2,Column3,Column4,Column5,Column6,chla
2014,4,16,35.8698,-0.0677,0.01
2014,4,30,36.7969,-0.2865,0.01
2014,4,30,36.7969,-0.2865,0.01
2014,4,14,36.3073,0.401,0.010351000000000001
2014,4,21,36.1302,-0.3698,0.010351000000000001
2014,4,30,36.849,-0.2969,0.010351000000000001
2014,4,30,36.7448,0.3073,0.010351000000000001
2014,4,30,36.724,-0.2969,0.010351000000000001
2014,4,30,36.6198,0.1615,0.010351000000000001
2014,4,30,36.849,-0.2969,0.010351000000000001
2014,4,30,36.7448,0.3073,0.010351000000000001
2014,4,30,36.724,-0.2969,0.010351000000000001
2014,4,30,36.6198,0.1615,0.010351000000000001
2014,4,30,36.8594,0.599,0.010715000000000001
2014,4,30,36.7865,-0.276,0.010715000000000001
2014,4,30,36.7865,-0.2448,0.010715000000000001
2014,4,30,36.7865,0.5365,0.010715000000000001
2014,4,30,36.651,-0.3594,0.010715000000000001
2014,4,30,36.8594,0.599,0.010715000000000001
2014,4,30,36.7865,-0.276,0.010715000000000001
2014,4,30,36.7865,-0.2448,0.010715000000000001
2014,4,30,36.7865,0.5365,0.010715000000000001
2014,4,30,36.651,-0.3594,0.010715000000000001
2014,4,30,36.6927,0.2552,0.011091999999999999
2014,4,30,36.6927,0.2552,0.011091999999999999
2014,4,16,36.1198,0.151,0.011481999999999999
2014,4,30,36.8698,0.7865,0.011481999999999999
2014,4,30,36.8594,-0.2552,0.011481999999999999
2014,4,30,36.6927,-0.1719,0.011481999999999999
2014,4,30,36.6719,0.6302,0.011481999999999999
2014,4,30,36.5156,-0.3281,0.011481999999999999
2014,4,30,36.4427,0.1823,0.011481999999999999
2014,4,30,36.8698,0.7865,0.011481999999999999
2014,4,30,36.8594,-0.2552,0.011481999999999999
2014,4,30,36.6927,-0.1719,0.011481999999999999
2014,4,30,36.6719,0.6302,0.011481999999999999
2014,4,30,36.5156,-0.3281,0.011481999999999999
2014,4,30,36.4427,0.1823,0.011481999999999999
2014,4,16,35.9219,-0.4531,0.011885
2014,4,30,36.776,-0.2344,0.011885
2014,4,30,36.776,-0.2344,0.011885
2014,4,21,36.276,0.0052,0.012303
2014,4,30,36.7865,-0.224,0.012303
2014,4,30,36.7552,-0.4844,0.012303
2014,4,30,36.724,-0.401,0.012303
2014,4,30,36.7865,-0.224,0.012303
2014,4,30,36.7552,-0.4844,0.012303
2014,4,30,36.724,-0.401,0.012303
2014,4,30,37.1719,0.9219,0.012735
2014,4,30,36.8073,-0.2448,0.012735
2014,4,30,36.7552,-0.474,0.012735
2014,4,30,36.6302,-0.0573,0.012735
2014,4,30,36.1719,-0.2031,0.012735
2014,4,30,37.1719,0.9219,0.012735
2014,4,30,36.8073,-0.2448,0.012735
2014,4,30,36.7552,-0.474,0.012735
2014,4,30,36.6302,-0.0573,0.012735
2014,4,30,36.1719,-0.2031,0.012735
2014,4,21,36.2448,-0.474,0.013183
2014,4,23,36.6198,0.5365,0.013183
2014,4,30,36.8698,-0.2656,0.013183
2014,4,30,36.6406,-0.0573,0.013183
2014,4,30,36.526,-0.2656,0.013183
2014,4,30,36.4115,-0.3073,0.013183
2014,4,30,36.8698,-0.2656,0.013183
2014,4,30,36.6406,-0.0573,0.013183
2014,4,30,36.526,-0.2656,0.013183
2014,4,30,36.4115,-0.3073,0.013183
2014,4,14,36.3073,0.3802,0.013646
2014,4,16,36.1406,0.224,0.013646
2014,4,21,36.7344,0.3385,0.013646
2014,4,30,36.9635,0.6094,0.013646
2014,4,30,36.8385,0.7969,0.013646
2014,4,30,36.7969,0.349,0.013646
2014,4,30,36.7656,-0.5156,0.013646
2014,4,30,36.7656,-0.4427,0.013646
2014,4,30,36.9635,0.6094,0.013646
2014,4,30,36.8385,0.7969,0.013646
2014,4,30,36.7969,0.349,0.013646
2014,4,30,36.7656,-0.5156,0.013646
2014,4,30,36.7656,-0.4427,0.013646
2014,4,16,35.8594,-0.0365,0.014125
2014,4,30,36.6927,-0.1615,0.014125
2014,4,30,36.6615,-0.3177,0.014125
2014,4,30,36.4427,-0.2031,0.014125
2014,4,30,36.2448,-0.1094,0.014125
2014,4,30,36.6927,-0.1615,0.014125
2014,4,30,36.6615,-0.3177,0.014125
2014,4,30,36.4427,-0.2031,0.014125
2014,4,30,36.2448,-0.1094,0.014125
2014,4,16,36.151,0.224,0.014622
2014,4,16,35.8594,-0.0573,0.014622
2014,4,30,36.8594,-0.2656,0.016218
2014,4,30,36.8177,0.6823,0.016218
2014,4,30,36.8594,-0.2656,0.016218
2014,4,30,36.8177,0.6823,0.016218
2014,4,14,36.3281,0.401,0.016788000000000001
2014,4,30,36.9531,0.849,0.016788000000000001
2014,4,30,36.7135,-0.2969,0.016788000000000001
2014,4,30,36.9531,0.849,0.016788000000000001
2014,4,30,36.7135,-0.2969,0.016788000000000001
2014,4,16,35.9323,-0.0052,0.017378000000000001
2014,4,24,37.1719,0.5781,0.017378000000000001
2014,4,30,36.9427,0.5365,0.017378000000000001
2014,4,30,36.8281,-0.276,0.017378000000000001
2014,4,30,36.8281,-0.1927,0.017378000000000001
2014,4,30,36.5885,-0.276,0.017378000000000001
2014,4,30,36.4115,0.026,0.017378000000000001
2014,4,30,36.1823,-0.1719,0.017378000000000001
2014,4,30,36.9427,0.5365,0.017378000000000001
2014,4,30,36.8281,-0.276,0.017378000000000001
2014,4,30,36.8281,-0.1927,0.017378000000000001
2014,4,30,36.5885,-0.276,0.017378000000000001
2014,4,30,36.4115,0.026,0.017378000000000001
2014,4,30,36.1823,-0.1719,0.017378000000000001
2014,4,30,36.7448,-0.2344,0.017989000000000002
2014,4,30,36.6719,-0.1927,0.017989000000000002
2014,4,30,36.6615,-0.4948,0.017989000000000002
2014,4,30,36.6302,-0.3698,0.017989000000000002
2014,4,30,36.6094,-0.3281,0.017989000000000002
2014,4,30,36.7448,-0.2344,0.017989000000000002
2014,4,30,36.6719,-0.1927,0.017989000000000002
2014,4,30,36.6615,-0.4948,0.017989000000000002
2014,4,30,36.6302,-0.3698,0.017989000000000002
2014,4,30,36.6094,-0.3281,0.017989000000000002
2014,4,21,36.1406,-0.4115,0.018620999999999999
2014,4,30,36.9219,0.4844,0.018620999999999999
2014,4,30,36.776,-0.4323,0.018620999999999999
2014,4,30,36.7656,-0.4948,0.018620999999999999
2014,4,30,36.7656,-0.4844,0.018620999999999999
2014,4,30,36.7656,-0.2031,0.018620999999999999
2014,4,30,36.7031,-0.3802,0.018620999999999999
2014,4,30,36.7031,-0.3177,0.018620999999999999
2014,4,30,36.6823,-0.2135,0.018620999999999999
2014,4,30,36.651,-0.3698,0.018620999999999999
2014,4,30,36.6406,-0.3385,0.018620999999999999
